Id,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,MSZoning_E,LotShape_E,LandContour_E,LotConfig_E,Neighborhood_E,Condition1_E,Condition2_E,BldgType_E,HouseStyle_E,RoofStyle_E,RoofMatl_E,Exterior1st_E,MasVnrType_E,ExterQual_E,ExterCond_E,Foundation_E,BsmtQual_E,BsmtCond_E,BsmtExposure_E,BsmtFinType1_E,BsmtFinType2_E,Heating_E,HeatingQC_E,CentralAir_E,Electrical_E,KitchenQual_E,Functional_E,GarageType_E,GarageFinish_E,GarageQual_E,PavedDrive_E,SaleType_E,SaleCondition_E
11,20,11200,5,5,1965,1965,906,0,134,1040,0,0,1040,1,0,1,0,3,1,0,384,0,0,0,0,0,0,0,2,2008,129500,4.0,1.0,2.0,1.0,7.0,5.0,5.0,5.0,6.0,5.0,3.0,9.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,3.0,2.0,4.0,3.0,5.0,5.0
12,60,11924,9,5,2005,2006,998,0,177,1175,1142,0,2324,1,0,3,0,4,1,2,736,147,21,0,0,0,0,0,7,2006,345000,4.0,2.0,2.0,1.0,24.0,5.0,5.0,5.0,7.0,5.0,3.0,7.0,5.0,4.0,4.0,6.0,5.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,4.0,7.0,7.0,4.0,4.0,3.0,9.0,6.0
13,20,12968,5,6,1962,1962,737,0,175,912,0,0,912,1,0,1,0,2,1,0,352,140,0,0,0,176,0,0,9,2008,144000,4.0,4.0,2.0,1.0,7.0,5.0,5.0,5.0,6.0,5.0,3.0,9.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,6.0,6.0,3.0,2.0,5.0,2.0,7.0,3.0,2.0,4.0,3.0,5.0,5.0
14,20,10652,7,5,2006,2007,0,0,1494,1494,0,0,1494,0,0,2,0,3,1,1,840,160,33,0,0,0,0,0,8,2007,279500,4.0,2.0,2.0,1.0,17.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,9.0,6.0
15,20,10920,6,5,1960,1960,733,0,520,1253,0,0,1253,1,0,1,1,2,1,1,352,0,213,176,0,0,0,0,5,2008,157000,4.0,2.0,2.0,3.0,11.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,6.0,6.0,3.0,2.0,5.0,2.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
16,45,6120,7,8,1929,2001,0,0,832,832,0,0,854,0,0,1,0,2,1,0,576,48,112,0,0,0,0,0,7,2007,132000,2.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,1.0,2.0,3.0,6.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,4.0,2.0,7.0,3.0,2.0,4.0,3.0,5.0,5.0
17,20,11241,6,7,1970,1970,578,0,426,1004,0,0,1004,1,0,1,0,2,1,1,480,0,0,0,0,0,0,700,3,2010,149000,4.0,2.0,2.0,5.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,6.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,6.0,4.0,4.0,3.0,5.0,5.0
18,90,10791,4,5,1967,1967,0,0,0,0,0,0,1296,0,0,2,0,2,2,0,516,0,0,0,0,0,0,500,10,2006,90000,4.0,1.0,2.0,1.0,7.0,5.0,5.0,2.0,6.0,2.0,3.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,2.0,5.0,2.0,7.0,2.0,2.0,4.0,3.0,5.0,5.0
19,20,13695,5,5,2004,2004,646,0,468,1114,0,0,1114,1,0,1,1,3,1,0,576,0,102,0,0,0,0,0,6,2008,159000,4.0,1.0,2.0,1.0,13.0,2.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,2.0,4.0,6.0,3.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,3.0,2.0,4.0,3.0,5.0,5.0
20,20,7560,5,6,1958,1965,504,0,525,1029,0,0,1339,0,0,1,0,3,1,0,294,0,0,0,0,0,0,0,5,2009,139000,4.0,1.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,5.0,3.0,11.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,6.0,6.0,3.0,2.0,5.0,2.0,4.0,6.0,2.0,4.0,3.0,4.0,2.0
21,60,14215,8,5,2005,2006,0,0,1158,1158,1218,0,2376,0,0,3,1,4,1,1,853,240,154,0,0,0,0,0,11,2006,325300,4.0,2.0,2.0,3.0,24.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,3.0,3.0,4.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,7.0,3.0,4.0,3.0,9.0,6.0
22,45,7449,7,7,1930,1950,0,0,637,637,0,0,1108,0,0,1,0,3,1,1,280,0,0,205,0,0,0,0,6,2007,139400,2.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,1.0,2.0,3.0,6.0,2.0,2.0,4.0,6.0,3.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,3.0,3.0,7.0,6.0,2.0,4.0,1.0,5.0,5.0
23,20,9742,8,5,2002,2002,0,0,1777,1777,0,0,1795,0,0,2,0,3,1,1,534,171,159,0,0,0,0,0,9,2008,230000,4.0,1.0,2.0,1.0,17.0,5.0,5.0,5.0,6.0,5.0,3.0,12.0,3.0,3.0,4.0,6.0,4.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
24,120,4224,5,7,1976,1976,840,0,200,1040,0,0,1060,1,0,1,0,3,1,1,572,100,110,0,0,0,0,0,6,2007,129900,2.0,1.0,2.0,1.0,1.0,5.0,5.0,4.0,6.0,2.0,3.0,13.0,2.0,2.0,4.0,6.0,4.0,4.0,2.0,7.0,6.0,6.0,3.0,2.0,5.0,2.0,7.0,6.0,2.0,4.0,3.0,5.0,5.0
25,20,8246,5,8,1968,2001,188,668,204,1060,0,0,1060,1,0,1,0,3,1,1,270,406,90,0,0,0,0,0,5,2010,154000,4.0,2.0,2.0,1.0,7.0,5.0,5.0,5.0,6.0,2.0,3.0,10.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,7.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,2.0,4.0,3.0,5.0,5.0
26,20,14230,8,5,2007,2007,0,0,1566,1566,0,0,1600,0,0,2,0,3,1,1,890,0,56,0,0,0,0,0,7,2009,256300,4.0,1.0,2.0,3.0,24.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,4.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
27,20,7200,5,7,1951,2000,234,486,180,900,0,0,900,0,1,1,0,3,1,0,576,222,32,0,0,0,0,0,5,2010,134800,4.0,1.0,2.0,3.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,6.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,6.0,3.0,2.0,5.0,3.0,7.0,3.0,2.0,4.0,3.0,5.0,5.0
28,20,11478,8,5,2007,2008,1218,0,486,1704,0,0,1704,1,0,2,0,3,1,1,772,0,50,0,0,0,0,0,5,2010,306000,4.0,1.0,2.0,1.0,24.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,5.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
29,20,16321,5,6,1957,1997,1277,0,207,1484,0,0,1600,1,0,1,0,2,1,2,319,288,258,0,0,0,0,0,12,2006,207500,4.0,2.0,2.0,5.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,3.0,6.0,6.0,3.0,2.0,5.0,2.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
30,30,6324,4,6,1927,1950,0,0,520,520,0,0,520,0,0,1,0,1,1,0,240,49,0,87,0,0,0,0,5,2008,68500,2.0,2.0,2.0,1.0,4.0,3.0,1.0,5.0,6.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,2.0,1.0,5.0,1.0,7.0,3.0,2.0,3.0,3.0,5.0,5.0
31,70,8500,4,4,1920,1950,0,0,649,649,668,0,1317,0,0,1,0,3,1,0,250,0,54,172,0,0,0,0,7,2008,40000,1.0,1.0,2.0,1.0,2.0,3.0,5.0,5.0,7.0,1.0,3.0,11.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,3.0,1.0,5.0,2.0,7.0,3.0,2.0,4.0,1.0,5.0,5.0
32,20,8544,5,6,1966,2006,0,0,1228,1228,0,0,1228,0,0,1,1,3,1,0,271,0,65,0,0,0,0,0,6,2008,149350,4.0,2.0,2.0,5.0,7.0,5.0,5.0,5.0,6.0,2.0,3.0,9.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,6.0,6.0,6.0,4.0,2.0,5.0,3.0,7.0,6.0,2.0,4.0,3.0,5.0,5.0
33,20,11049,8,5,2007,2007,0,0,1234,1234,0,0,1234,0,0,2,0,3,1,0,484,0,30,0,0,0,0,0,1,2008,179900,4.0,1.0,2.0,3.0,17.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,3.0,4.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
34,20,10552,5,5,1959,1959,1018,0,380,1398,0,0,1700,0,1,1,1,4,1,1,447,0,38,0,0,0,0,0,4,2010,165500,4.0,2.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,5.0,3.0,11.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,6.0,4.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
35,120,7313,9,5,2005,2005,1153,0,408,1561,0,0,1561,1,0,2,0,2,1,1,556,203,47,0,0,0,0,0,8,2007,277500,4.0,1.0,2.0,1.0,24.0,5.0,5.0,4.0,6.0,5.0,3.0,5.0,3.0,4.0,4.0,6.0,5.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,4.0,7.0,6.0,4.0,4.0,3.0,5.0,5.0
36,60,13418,8,5,2004,2005,0,0,1117,1117,1320,0,2452,0,0,3,1,4,1,1,691,113,32,0,0,0,0,0,9,2006,309000,4.0,1.0,2.0,1.0,24.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,7.0,4.0,4.0,3.0,5.0,5.0
37,20,10859,5,5,1994,1995,0,0,1097,1097,0,0,1097,0,0,1,1,3,1,0,672,392,64,0,0,0,0,0,6,2009,145000,4.0,1.0,2.0,3.0,17.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,2.0,4.0,6.0,4.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,6.0,2.0,4.0,3.0,5.0,5.0
38,20,8532,5,6,1954,1990,1213,0,84,1297,0,0,1297,0,1,1,0,3,1,1,498,0,0,0,0,0,0,0,10,2009,153000,4.0,1.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,5.0,3.0,6.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,6.0,4.0,2.0,5.0,2.0,7.0,6.0,4.0,4.0,3.0,5.0,5.0
39,20,7922,5,7,1953,2007,731,0,326,1057,0,0,1057,1,0,1,0,3,1,0,246,0,52,0,0,0,0,0,1,2010,109000,4.0,1.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,7.0,6.0,6.0,3.0,2.0,5.0,3.0,7.0,3.0,2.0,4.0,3.0,5.0,2.0
40,90,6040,4,5,1955,1955,0,0,0,0,0,0,1152,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,6,2008,82000,4.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,6.0,2.0,3.0,4.0,2.0,2.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,5.0,1.0
41,20,8658,6,5,1965,1965,643,0,445,1088,0,0,1324,0,0,2,0,3,1,1,440,0,138,0,0,0,0,0,12,2006,160000,4.0,1.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,6.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,6.0,3.0,4.0,3.0,5.0,2.0
42,20,16905,5,6,1959,1959,967,0,383,1350,0,0,1328,0,1,1,1,2,1,2,308,0,104,0,0,0,0,0,7,2007,170000,4.0,1.0,2.0,1.0,22.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,3.0,6.0,6.0,4.0,2.0,5.0,2.0,7.0,6.0,3.0,4.0,2.0,5.0,5.0
43,85,9180,5,7,1983,1983,747,93,0,840,0,0,884,1,0,1,0,2,1,0,504,240,0,0,0,0,0,0,12,2007,144000,4.0,2.0,2.0,5.0,13.0,5.0,5.0,5.0,2.0,2.0,3.0,9.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,6.0,4.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
44,20,9200,5,6,1975,1980,280,491,167,938,0,0,938,1,0,1,0,3,1,0,308,145,0,0,0,0,0,0,7,2008,130250,4.0,2.0,2.0,5.0,17.0,5.0,5.0,5.0,6.0,5.0,3.0,12.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,6.0,3.0,2.0,5.0,2.0,7.0,3.0,2.0,4.0,3.0,5.0,5.0
45,20,7945,5,6,1959,1959,179,506,465,1150,0,0,1150,1,0,1,0,3,1,0,300,0,0,0,0,0,0,0,5,2006,141000,4.0,1.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,11.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,2.0,6.0,5.0,2.0,4.0,2.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
46,120,7658,9,5,2005,2005,456,0,1296,1752,0,0,1752,1,0,2,0,2,1,1,576,196,82,0,0,0,0,0,2,2010,319900,4.0,1.0,2.0,1.0,24.0,5.0,5.0,4.0,6.0,5.0,3.0,5.0,3.0,4.0,4.0,6.0,5.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,4.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
47,50,12822,7,5,2003,2003,1351,0,83,1434,631,0,2149,1,0,1,1,1,1,1,670,168,43,0,0,198,0,0,8,2009,239686,4.0,2.0,2.0,5.0,12.0,5.0,5.0,5.0,3.0,2.0,3.0,12.0,2.0,3.0,4.0,6.0,5.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,2.0
48,20,11096,8,5,2006,2006,24,0,1632,1656,0,0,1656,0,0,2,0,3,1,0,826,0,146,0,0,0,0,0,7,2007,249700,5.0,1.0,2.0,1.0,20.0,5.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,3.0,4.0,6.0,4.0,4.0,4.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
49,190,4456,4,5,1920,2008,0,0,736,736,716,0,1452,0,0,2,0,2,3,0,0,0,0,102,0,0,0,0,6,2009,113000,2.0,1.0,2.0,1.0,6.0,5.0,5.0,1.0,7.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,6.0,6.0,6.0,4.0,2.0,5.0,2.0,7.0,1.0,1.0,2.0,1.0,9.0,6.0
50,20,7742,5,7,1966,1966,763,0,192,955,0,0,955,1,0,1,0,3,1,0,386,0,0,0,0,0,0,0,1,2007,127000,4.0,1.0,2.0,1.0,7.0,5.0,5.0,5.0,6.0,2.0,3.0,9.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,6.0,2.0,4.0,3.0,5.0,5.0
51,60,13869,6,6,1997,1997,182,0,612,794,676,0,1470,0,1,2,0,3,1,0,388,0,75,0,0,0,0,0,7,2007,177000,4.0,4.0,2.0,3.0,15.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,2.0,2.0,4.0,6.0,4.0,4.0,4.0,7.0,6.0,6.0,4.0,2.0,5.0,2.0,7.0,6.0,4.0,4.0,3.0,5.0,5.0
52,50,6240,6,6,1934,1950,0,0,816,816,0,360,1176,0,0,1,0,3,1,1,528,112,0,0,0,0,0,400,9,2006,114500,2.0,1.0,2.0,1.0,4.0,5.0,5.0,5.0,3.0,2.0,3.0,6.0,2.0,2.0,4.0,6.0,3.0,4.0,2.0,6.0,6.0,6.0,3.0,2.0,5.0,2.0,7.0,3.0,2.0,4.0,3.0,5.0,5.0
53,90,8472,5,5,1963,1963,104,712,0,816,0,0,816,1,0,1,0,2,1,0,516,106,0,0,0,0,0,0,5,2010,110000,2.0,4.0,1.0,3.0,2.0,7.0,5.0,2.0,6.0,2.0,3.0,6.0,2.0,1.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,6.0,3.0,1.0,5.0,2.0,7.0,2.0,2.0,4.0,3.0,5.0,5.0
54,20,50271,9,5,1981,1987,1810,0,32,1842,0,0,1842,2,0,0,1,0,1,1,894,857,72,0,0,0,0,0,11,2006,385000,4.0,2.0,3.0,1.0,21.0,5.0,5.0,5.0,6.0,2.0,8.0,7.0,2.0,3.0,4.0,3.0,5.0,4.0,5.0,7.0,6.0,6.0,4.0,2.0,5.0,3.0,7.0,6.0,4.0,4.0,3.0,5.0,5.0
55,80,7134,5,5,1955,1955,384,0,0,384,0,0,1360,0,0,1,0,3,1,1,572,0,50,0,0,0,0,0,2,2007,130000,4.0,1.0,1.0,1.0,11.0,5.0,5.0,5.0,5.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,6.0,6.0,3.0,2.0,5.0,2.0,4.0,3.0,2.0,4.0,3.0,5.0,5.0
56,20,10175,6,5,1964,1964,490,0,935,1425,0,0,1425,0,0,2,0,3,1,1,576,0,0,0,407,0,0,0,7,2008,180500,4.0,2.0,2.0,1.0,11.0,5.0,5.0,5.0,6.0,2.0,3.0,9.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,6.0,6.0,4.0,2.0,5.0,2.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
57,160,2645,8,5,1999,2000,649,0,321,970,756,0,1739,1,0,2,1,3,1,0,480,115,0,0,0,0,0,0,8,2009,172500,5.0,1.0,2.0,1.0,20.0,5.0,5.0,3.0,7.0,2.0,3.0,5.0,3.0,3.0,4.0,6.0,4.0,4.0,2.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,4.0,4.0,3.0,5.0,2.0
58,60,11645,7,5,2004,2004,0,0,860,860,860,0,1720,0,0,2,1,3,1,0,565,0,70,0,0,0,0,0,8,2006,196500,4.0,2.0,2.0,3.0,17.0,5.0,5.0,5.0,7.0,2.0,3.0,12.0,2.0,3.0,4.0,6.0,4.0,4.0,2.0,6.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
59,60,13682,10,5,2006,2006,0,0,1410,1410,1519,0,2945,0,0,3,1,3,1,1,641,192,0,37,0,0,0,0,10,2006,438780,4.0,4.0,4.0,5.0,23.0,5.0,5.0,5.0,7.0,5.0,3.0,12.0,3.0,4.0,4.0,6.0,5.0,4.0,5.0,6.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,7.0,4.0,4.0,3.0,9.0,6.0
60,20,7200,5,7,1972,1972,632,0,148,780,0,0,780,0,0,1,0,2,1,0,352,196,0,0,0,0,0,0,1,2008,124900,4.0,1.0,1.0,1.0,17.0,5.0,5.0,5.0,6.0,2.0,3.0,9.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,5.0,2.0,5.0,2.0,7.0,3.0,2.0,4.0,3.0,5.0,5.0
61,20,13072,6,5,2004,2004,941,0,217,1158,0,0,1158,1,0,1,1,3,1,0,576,0,50,0,0,0,0,0,5,2006,158000,4.0,1.0,2.0,1.0,13.0,2.0,5.0,5.0,6.0,2.0,3.0,12.0,2.0,2.0,4.0,6.0,4.0,4.0,2.0,5.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,3.0,2.0,4.0,3.0,9.0,6.0
62,75,7200,5,7,1920,1996,0,0,530,530,530,0,1111,0,0,1,0,3,1,0,288,0,0,144,0,0,0,0,3,2007,101000,2.0,1.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,6.0,6.0,6.0,3.0,1.0,5.0,1.0,7.0,3.0,2.0,4.0,1.0,5.0,5.0
63,120,6442,8,5,2006,2006,24,0,1346,1370,0,0,1370,0,0,2,0,2,1,1,484,120,49,0,0,0,0,0,10,2007,202500,4.0,2.0,2.0,1.0,24.0,5.0,5.0,4.0,6.0,2.0,3.0,12.0,5.0,3.0,4.0,6.0,4.0,5.0,3.0,7.0,6.0,6.0,5.0,2.0,5.0,3.0,7.0,6.0,3.0,4.0,3.0,5.0,5.0
